full_path,line,fixed_line
Dresden Neustadt|Coswig b Dresden|Weinböhla Hp|Priestewitz|Großenhain Cottb Bf|Lampertswalde|Ortrand|Ruhland|Senftenberg|Sedlitz Ost|Neupetershain,18,RE18
Tübingen Hbf|Reutlingen Hbf|Metzingen Württ|Bempflingen|Nürtingen|Oberboihingen|Wendlingen Neckar|Plochingen|Esslingen Neckar|Stuttgart Untertürkheim|Stuttgart Bad Cannstatt,18,RE18
Cottbus Hbf|Drebkau|Neupetershain|Sedlitz Ost|Senftenberg|Ruhland|Ortrand|Lampertswalde|Großenhain Cottb Bf|Priestewitz|Weinböhla Hp|Coswig Bz Dresden,18,RE18
Stuttgart Hbf|Stuttgart Bad Cannstatt|Esslingen Neckar|Plochingen|Wendlingen Neckar|Oberboihingen|Nürtingen|Bempflingen|Metzingen Württ|Reutlingen Sondelfingen|Reutlingen Hbf|Wannweil|Kirchentellinsfurt,18,RE18
Liège Guillemins|Bressoux|Vise|Eijsden|Maastricht Randwyck|Maastricht|Meerssen|Valkenburg NL|Heerlen|Landgraaf|Eygelshoven Markt|Herzogenrath|Aachen West,18,RE18
Dresden Neustadt|Coswig b Dresden|Weinböhla Hp|Priestewitz|Großenhain Cottb Bf|Lampertswalde|Ortrand|Ruhland|Schwarzheide Ost|Senftenberg|Sedlitz Ost|Bahnsdorf|Neupetershain,18,RE18
Neckarsulm|Heilbronn Hbf|Nordheim Württ|Lauffen Neckar|Kirchheim Neckar|Walheim Württ|Besigheim|Bietigheim Bissingen|Ludwigsburg|Stuttgart Hbf|Plochingen|Wendlingen Neckar|Nürtingen|Metzingen,18,RE18
Cottbus Hbf|Leuthen Cottbus|Drebkau|Neupetershain|Bahnsdorf|Sedlitz Ost|Senftenberg|Schwarzheide Ost|Ruhland|Ortrand|Lampertswalde|Großenhain Cottb Bf|Priestewitz|Weinböhla Hp|Coswig Bz Dresden,18,RE18
Neckarsulm|Heilbronn Hbf|Nordheim Württ|Lauffen Neckar|Kirchheim Neckar|Walheim Württ|Besigheim|Bietigheim Bissingen|Ludwigsburg|Stuttgart Hbf|Plochingen|Wendlingen Neckar|Nürtingen|Metzingen Württ|Reutlingen Hbf|Kirchentellinsfurt,18,RE18
Neckarsulm|Heilbronn Hbf|Nordheim Württ|Lauffen Neckar|Kirchheim Neckar|Walheim Württ|Besigheim|Bietigheim Bissingen|Ludwigsburg|Stuttgart Hbf|Stuttgart Bad Cannstatt|Esslingen Neckar|Plochingen|Wendlingen Neckar|Nürtingen|Metzingen,18,RE18
